메뉴종류,상호명,조회수,리뷰수
한식,시골순대                                    (상계점),4006,2
한식,노원족발,2595,2
한식,왕빈자삼파전                                    (노원점),2589,2
한식,오늘손칼국수앤찜                                    (공릉점),2315,2
한식,맷돌순두부                                    (서울여대점),1828,2
한식,아구명문대,1587,2
한식,정수제돈까스                                    (중계점),1365,2
한식,육회공작소,1344,2
한식,웰빙왕십리곱창,1308,2
한식,보승회관                                    (노원역점),488,3
한식,고소미부엌                                    (태릉입구역점),381,2
한식,황태칼국수왕돈까스,3116,1
한식,돌깨마을맷돌순두부                                    (상계백병원점),2628,1
한식,매일복집,2620,1
한식,싱싱식당,1867,1
한식,황둔부대찌개,1831,1
한식,장충왕족발,1779,1
한식,창익수제돈가스,1621,1
한식,공주집                                    (수락산점),1580,1
한식,다찜                                    (수락점),1507,1
한식,왕코등갈비,1502,1
한식,중계동삼겹살,1177,1
